Lionel Hampton and His Orchestra,Hey! Ba-ba Re-bob
Frankie Valli,Can't Take My Eyes Off You
Ray Charles,|What'd I Say, Pts. 1 & 2|
Bobby "Boris" Pickett & The Crypt-Kickers,Monster Mash
Paul Revere & The Raiders,I'm Not Your Stepping Stone
The Count Five,Psychotic Reaction
Marvin Gaye & Tammi Terrell,Ain't No Mountain High Enough
Sharon Tandy & Fleur De Lys,Hold On
John Travolta & Olivia Newton-John,You're the One That I Want
The Mighty Sparrow,Tobago Girl
Van Halen,Ain't Talkin' Bout Love
Sir Shina Peters & His International Stars,Yabis
McFadden & Whitehead,Ain't No Stoppin' Us Now
Richard Hell & The Voidoids,Blank Generation
Tom Petty & The Heartbreakers,Don't Do Me Like That
Shreya Ghoshal & Osman Mir,Nagada Sang Dhol
Herbert Grönemeyer,Männer
|Christina Aguilera, Lil' Kim, Mya & P!nk|,Lady Marmalade
|Little Nell, Patricia Quinn & Richard O'Brien|,Time Warp
Journey,Don't Stop Believin'
Simple Minds,Don't You
Barry White,I'm Gonna Love You Just a Little More Baby
Human League,Don't You Want Me
Big Daddy Kane,Ain't No Half Steppin'
Chumbawumba,Tubthumping
Big Punisher,I'm Not a Player
L'Arc-en-Ciel,Driver's High
Nelly Furtado,I'm Like A Bird
Sisqo,The Thong Song
Static & Ben El Tavori ,Silsulim
Panjabi MC,Beware Of The Boys
Christina Aguilera,Ain't No Other Man
Flo-Rida & T-Pain,Low
Will Smith,Gettin Jiggy With It
Dropkick Murphys,I'm Shipping Up to Boston
Golden Boy with Miss Kittin,Rippin Kittin
!!!,Me And Giuliani Down By The School Yard
The Pussycat Dolls,Don't Cha
Miami Sound Machine & Gloria Estefan,Conga
The Lonely Island,I'm On A Boat
UGK,Int'l Players Anthem
Kylie Minogue,Can't Get You Out Of My Head
Andre 3000,Hey Ya!
Shy FX & T Power,Rock the Boat
Kanye West & Jay Z,N*ggas in Paris
Jeremih,Don't Tell 'Em
Trick Daddy,I'm a Thug
Shaa'ir + Func,My Roots
D'Angelo & The Vanguard,Sugah Daddy
Girl's Day,Expect
Kyary Pamyu Pamyu,Kira Kira Killer
Swedish House Mafia,Don't You Worry Child
Joyryde,I'm Gone
Four Tet,Only Human
The Weeknd,Can't Feel My Face
Freddie Gibbs & Madlib,Crime Pays
Travis Scott & Young Thug,Pick Up The Phone
